batch_id,index,operation,status,error,message,entity_id,raw_input
47826,107,set_statement,Done,,,Q190469,"Q190469|P5063|""i43130"""
47826,108,set_statement,Done,,,Q304539,"Q304539|P8814|""01492350-n"""
47826,109,set_statement,Done,,,Q304539,"Q304539|P5063|""i43131"""
47826,110,set_statement,Done,,,Q206495,"Q206495|P8814|""01493311-n"""
47826,111,set_statement,Done,,,Q206495,"Q206495|P5063|""i43136"""
47826,112,set_statement,Done,,,Q26337,"Q26337|P8814|""01493647-n"""
47826,113,set_statement,Done,,,Q26337,"Q26337|P5063|""i43138"""
47826,114,set_statement,Done,,,Q260097,"Q260097|P8814|""01495210-n"""
47826,115,set_statement,Done,,,Q260097,"Q260097|P5063|""i43147"""
47826,116,set_statement,Done,,,Q941962,"Q941962|P8814|""01495349-n"""
47826,117,set_statement,Done,,,Q941962,"Q941962|P5063|""i43148"""
47826,118,set_statement,Done,,,Q2619358,"Q2619358|P8814|""01495501-n"""
47826,119,set_statement,Done,,,Q2619358,"Q2619358|P5063|""i43149"""
47826,120,set_statement,Done,,,Q212694,"Q212694|P8814|""01496470-n"""
47826,121,set_statement,Done,,,Q212694,"Q212694|P5063|""i43155"""
47826,122,set_statement,Done,,,Q1150019,"Q1150019|P8814|""01497523-n"""
47826,123,set_statement,Done,,,Q1150019,"Q1150019|P5063|""i43161"""
47826,124,set_statement,Done,,,Q655565,"Q655565|P8814|""01502037-n"""
47826,125,set_statement,Done,,,Q655565,"Q655565|P5063|""i43186"""
47826,126,set_statement,Done,,,Q10360338,"Q10360338|P8814|""01502373-n"""
47826,127,set_statement,Done,,,Q10360338,"Q10360338|P5063|""i43188"""
47826,128,set_statement,Done,,,Q4548397,"Q4548397|P8814|""01503495-n"""
47826,129,set_statement,Done,,,Q4548397,"Q4548397|P5063|""i43194"""
47826,130,set_statement,Done,,,Q106445006,"Q106445006|P8814|""01504282-n"""
47826,131,set_statement,Done,,,Q106445006,"Q106445006|P5063|""i43198"""
47826,132,set_statement,Done,,,Q17592,"Q17592|P8814|""01521519-n"""
47826,133,set_statement,Done,,,Q17592,"Q17592|P5063|""i43235"""
47826,134,set_statement,Done,,,Q192044,"Q192044|P8814|""01524040-n"""
47826,135,set_statement,Done,,,Q192044,"Q192044|P5063|""i43249"""
47826,136,set_statement,Done,,,Q25006711,"Q25006711|P8814|""01524397-n"""
47826,137,set_statement,Done,,,Q25006711,"Q25006711|P5063|""i43251"""
47826,138,set_statement,Done,,,Q26956,"Q26956|P8814|""01531486-n"""
47826,139,set_statement,Done,,,Q26956,"Q26956|P5063|""i43285"""
47826,140,set_statement,Done,,,Q25418,"Q25418|P8814|""01533819-n"""
47826,141,set_statement,Done,,,Q25418,"Q25418|P5063|""i43293"""
47826,142,set_statement,Done,,,Q26034,"Q26034|P8814|""01533985-n"""
47826,143,set_statement,Done,,,Q26034,"Q26034|P5063|""i43294"""
47826,144,set_statement,Done,,,Q168881,"Q168881|P8814|""01534153-n"""
47826,145,set_statement,Done,,,Q168881,"Q168881|P5063|""i43295"""
47826,146,set_statement,Done,,,Q206701,"Q206701|P8814|""01534452-n"""
47826,147,set_statement,Done,,,Q206701,"Q206701|P5063|""i43297"""
47826,148,set_statement,Done,,,Q391412,"Q391412|P8814|""01534612-n"""
47826,149,set_statement,Done,,,Q391412,"Q391412|P5063|""i43298"""
47826,150,set_statement,Done,,,Q26847063,"Q26847063|P8814|""01535152-n"""
47826,151,set_statement,Done,,,Q26847063,"Q26847063|P5063|""i43301"""
47826,152,set_statement,Done,,,Q525818,"Q525818|P8814|""01537223-n"""
47826,153,set_statement,Done,,,Q525818,"Q525818|P5063|""i43315"""
47826,154,set_statement,Done,,,Q776555,"Q776555|P8814|""01537781-n"""
47826,155,set_statement,Done,,,Q776555,"Q776555|P5063|""i43318"""
47826,156,set_statement,Done,,,Q686673,"Q686673|P8814|""01538331-n"""
47826,157,set_statement,Done,,,Q686673,"Q686673|P5063|""i43321"""
47826,158,set_statement,Done,,,Q645203,"Q645203|P8814|""01538676-n"""
47826,159,set_statement,Done,,,Q645203,"Q645203|P5063|""i43323"""
47826,160,set_statement,Done,,,Q842599,"Q842599|P8814|""01539285-n"""
47826,161,set_statement,Done,,,Q842599,"Q842599|P5063|""i43327"""
47826,162,set_statement,Done,,,Q335535,"Q335535|P8814|""01541003-n"""
47826,163,set_statement,Done,,,Q335535,"Q335535|P5063|""i43337"""
47826,164,set_statement,Done,,,Q14683,"Q14683|P8814|""01542566-n"""
47826,165,set_statement,Done,,,Q14683,"Q14683|P5063|""i43347"""
47826,166,set_statement,Done,,,Q25167830,"Q25167830|P8814|""01543207-n"""
47826,167,set_statement,Done,,,Q25167830,"Q25167830|P5063|""i43351"""
47826,168,set_statement,Done,,,Q214571,"Q214571|P8814|""01543743-n"""
47826,169,set_statement,Done,,,Q214571,"Q214571|P5063|""i43355"""
47826,170,set_statement,Done,,,Q500278,"Q500278|P8814|""01546273-n"""
47826,171,set_statement,Done,,,Q500278,"Q500278|P5063|""i43372"""
47826,172,set_statement,Done,,,Q652466,"Q652466|P8814|""01553721-n"""
47826,173,set_statement,Done,,,Q652466,"Q652466|P5063|""i43414"""
47826,174,set_statement,Done,,,Q2469246,"Q2469246|P8814|""01554974-n"""
47826,175,set_statement,Done,,,Q2469246,"Q2469246|P5063|""i43422"""
47826,176,set_statement,Done,,,Q26641,"Q26641|P8814|""01561406-n"""
47826,177,set_statement,Done,,,Q26641,"Q26641|P5063|""i43457"""
47826,178,set_statement,Error,combining_failed,The next command failed,Q40658797,"Q40658797|P8814|""01563434-n"""
47826,179,set_statement,Error,api_user_error,Error 409 ('redirected-item'): Item Q40658797 has been redirected to Q1315689.,Q40658797,"Q40658797|P5063|""i43470"""
47826,180,set_statement,Done,,,Q40654550,"Q40654550|P8814|""01565092-n"""
47826,181,set_statement,Done,,,Q40654550,"Q40654550|P5063|""i43482"""
47826,182,set_statement,Done,,,Q576050,"Q576050|P8814|""01566858-n"""
47826,183,set_statement,Done,,,Q576050,"Q576050|P5063|""i43492"""
47826,184,set_statement,Done,,,Q110257516,"Q110257516|P8814|""01567555-n"""
47826,185,set_statement,Done,,,Q110257516,"Q110257516|P5063|""i43496"""
47826,186,set_statement,Done,,,Q206089,"Q206089|P8814|""01567719-n"""
47826,187,set_statement,Done,,,Q206089,"Q206089|P5063|""i43497"""
47826,188,set_statement,Done,,,Q27075477,"Q27075477|P8814|""01567986-n"""
47826,189,set_statement,Done,,,Q27075477,"Q27075477|P5063|""i43499"""
47826,190,set_statement,Done,,,Q795556,"Q795556|P8814|""01568848-n"""
47826,191,set_statement,Done,,,Q795556,"Q795556|P5063|""i43505"""
47826,192,set_statement,Done,,,Q1146827,"Q1146827|P8814|""01570520-n"""
47826,193,set_statement,Done,,,Q1146827,"Q1146827|P5063|""i43513"""
47826,194,set_statement,Done,,,Q1586243,"Q1586243|P8814|""01571361-n"""
47826,195,set_statement,Done,,,Q1586243,"Q1586243|P5063|""i43518"""
47826,196,set_statement,Done,,,Q40654149,"Q40654149|P8814|""01571903-n"""
47826,197,set_statement,Done,,,Q40654149,"Q40654149|P5063|""i43521"""
47826,198,set_statement,Done,,,Q787047,"Q787047|P8814|""01572612-n"""
47826,199,set_statement,Done,,,Q787047,"Q787047|P5063|""i43526"""
47826,200,set_statement,Done,,,Q40659522,"Q40659522|P8814|""01572908-n"""
47826,201,set_statement,Done,,,Q40659522,"Q40659522|P5063|""i43528"""
47826,202,set_statement,Done,,,Q1368136,"Q1368136|P8814|""01576001-n"""
47826,203,set_statement,Done,,,Q1368136,"Q1368136|P5063|""i43547"""
47826,204,set_statement,Done,,,Q599898,"Q599898|P8814|""01576268-n"""
47826,205,set_statement,Done,,,Q599898,"Q599898|P5063|""i43549"""
