Q261763,P5063,i43682
Q310857,P8814,01598482-n
Q310857,P5063,i43685
Q901041,P8814,01598783-n
Q901041,P5063,i43687
Q665719,P8814,01599120-n
Q665719,P5063,i43689
Q842378,P8814,01599402-n
Q842378,P5063,i43691
Q2483684,P8814,01599528-n
Q2483684,P5063,i43692
Q225353,P8814,01600192-n
Q225353,P5063,i43696
Q171052,P8814,01601073-n
Q171052,P5063,i43701
Q14437812,P8814,01602838-n
Q14437812,P5063,i43712
Q10809555,P8814,01603550-n
Q10809555,P5063,i43716
Q860867,P8814,01603909-n
Q860867,P5063,i43718
Q15631675,P8814,01604191-n
Q15631675,P5063,i43720
Q192575,P8814,01604560-n
Q192575,P5063,i43722
Q11897625,P8814,01605957-n
Q11897625,P5063,i43731
Q208940,P8814,01606119-n
Q208940,P5063,i43732
Q25370,P8814,01607266-n
Q25370,P5063,i43738
Q6377551,P8814,01610727-n
Q6377551,P5063,i43755
Q10758200,P8814,01611575-n
Q10758200,P5063,i43760
Q207796,P8814,01612190-n
Q207796,P5063,i43764
Q867544,P8814,01613067-n
Q867544,P5063,i43769
Q21744,P8814,01613399-n
Q21744,P5063,i43771
Q1238727,P8814,01615444-n
Q1238727,P5063,i43782
Q15138218,P8814,01616550-n
Q15138218,P5063,i43788
Q30085,P8814,01616836-n
Q30085,P5063,i43790
Q147403,P8814,01617410-n
Q147403,P5063,i43794
Q28240,P8814,01618466-n
Q28240,P5063,i43800
Q3893145,P8814,01618590-n
Q3893145,P5063,i43801
Q13649293,P8814,01619930-n
Q13649293,P5063,i43808
Q3347141,P8814,01620274-n
Q3347141,P5063,i43810
Q13428439,P8814,01620590-n
Q13428439,P5063,i43812
Q2346527,P8814,01620861-n
Q2346527,P5063,i43814
Q15042109,P8814,01620997-n
Q15042109,P5063,i43815
Q184858,P8814,01621312-n
Q184858,P5063,i43817
Q15042113,P8814,01622316-n
Q15042113,P5063,i43822
Q10763377,P8814,01622644-n
Q10763377,P5063,i43824
Q14786570,P8814,01622923-n
Q14786570,P5063,i43826
Q15734727,P8814,01623216-n
Q15734727,P5063,i43828
Q26012,P8814,01624355-n
Q26012,P5063,i43833
Q663507,P8814,01624635-n
Q663507,P5063,i43834
Q832329,P8814,01625925-n
Q832329,P5063,i43843
Q10822188,P8814,01627047-n
Q10822188,P5063,i43851
Q648422,P8814,01627348-n
Q648422,P5063,i43853
Q18088155,P8814,01627628-n
Q18088155,P5063,i43855
Q27112,P8814,01627916-n
Q27112,P5063,i43857
Q132802,P8814,01630427-n
Q132802,P5063,i43864
Q131475,P8814,01630789-n
Q131475,P5063,i43866
Q319469,P8814,01631526-n
Q319469,P5063,i43870
Q310391,P8814,01633174-n
Q310391,P5063,i43877
Q754032,P8814,01635688-n
Q754032,P5063,i43894
Q2120568,P8814,01635891-n
Q2120568,P5063,i43895
Q922164,P8814,01636219-n
Q922164,P5063,i43897
Q743692,P8814,01636590-n
Q743692,P5063,i43899
Q2743186,P8814,01636733-n
Q2743186,P5063,i43900
Q14547873,P8814,01637325-n
Q14547873,P5063,i43904
Q2256290,P8814,01638605-n
Q2256290,P5063,i43911
Q2698057,P8814,01639316-n
Q2698057,P5063,i43915
Q2698192,P8814,01639625-n
Q2698192,P5063,i43917
Q786876,P8814,01640119-n
Q786876,P5063,i43920
Q11841073,P8814,01641123-n
Q11841073,P5063,i43926
Q240755,P8814,01641593-n
Q240755,P5063,i43929
Q53636,P8814,01642010-n
Q53636,P5063,i43932
Q72738,P8814,01643208-n
Q72738,P5063,i43935
Q55475,P8814,01645312-n
Q55475,P5063,i43946
Q2101311,P8814,01646015-n
Q2101311,P5063,i43950
Q2501775,P8814,01646328-n
Q2501775,P5063,i43952
Q56065,P8814,01646745-n
Q56065,P5063,i43954
Q945221,P8814,01646886-n
Q945221,P5063,i43955
Q2925426,P8814,01647340-n
Q2925426,P5063,i43958
Q55477,P8814,01647734-n
Q55477,P5063,i43960
Q55372,P8814,01648275-n
