Q1150019	P5063	"i43161"
Q655565	P8814	"01502037-n"
Q655565	P5063	"i43186"
Q10360338	P8814	"01502373-n"
Q10360338	P5063	"i43188"
Q4548397	P8814	"01503495-n"
Q4548397	P5063	"i43194"
Q106445006	P8814	"01504282-n"
Q106445006	P5063	"i43198"
Q17592	P8814	"01521519-n"
Q17592	P5063	"i43235"
Q192044	P8814	"01524040-n"
Q192044	P5063	"i43249"
Q25006711	P8814	"01524397-n"
Q25006711	P5063	"i43251"
Q26956	P8814	"01531486-n"
Q26956	P5063	"i43285"
Q25418	P8814	"01533819-n"
Q25418	P5063	"i43293"
Q26034	P8814	"01533985-n"
Q26034	P5063	"i43294"
Q168881	P8814	"01534153-n"
Q168881	P5063	"i43295"
Q206701	P8814	"01534452-n"
Q206701	P5063	"i43297"
Q391412	P8814	"01534612-n"
Q391412	P5063	"i43298"
Q26847063	P8814	"01535152-n"
Q26847063	P5063	"i43301"
Q525818	P8814	"01537223-n"
Q525818	P5063	"i43315"
Q776555	P8814	"01537781-n"
Q776555	P5063	"i43318"
Q686673	P8814	"01538331-n"
Q686673	P5063	"i43321"
Q645203	P8814	"01538676-n"
Q645203	P5063	"i43323"
Q842599	P8814	"01539285-n"
Q842599	P5063	"i43327"
Q335535	P8814	"01541003-n"
Q335535	P5063	"i43337"
Q14683	P8814	"01542566-n"
Q14683	P5063	"i43347"
Q25167830	P8814	"01543207-n"
Q25167830	P5063	"i43351"
Q214571	P8814	"01543743-n"
Q214571	P5063	"i43355"
Q500278	P8814	"01546273-n"
Q500278	P5063	"i43372"
Q652466	P8814	"01553721-n"
Q652466	P5063	"i43414"
Q2469246	P8814	"01554974-n"
Q2469246	P5063	"i43422"
Q26641	P8814	"01561406-n"
Q26641	P5063	"i43457"
Q40658797	P8814	"01563434-n"
Q40658797	P5063	"i43470"
Q40654550	P8814	"01565092-n"
Q40654550	P5063	"i43482"
Q576050	P8814	"01566858-n"
Q576050	P5063	"i43492"
Q110257516	P8814	"01567555-n"
Q110257516	P5063	"i43496"
Q206089	P8814	"01567719-n"
Q206089	P5063	"i43497"
Q27075477	P8814	"01567986-n"
Q27075477	P5063	"i43499"
Q795556	P8814	"01568848-n"
Q795556	P5063	"i43505"
Q1146827	P8814	"01570520-n"
Q1146827	P5063	"i43513"
Q1586243	P8814	"01571361-n"
