wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
11817213-n,mostly tropical trees and shrubs and lianas: genera Panax and Hedera,i99292,Araliaceae|family Araliaceae|ivy family,Q193335
11819989-n,perennial herbs of eastern North America and Asia having aromatic tuberous roots: ginseng,i99305,Panax|genus Panax,Q7213683
11821268-n,order of plants distinguished by tubular petaloid perianth and inferior ovary,i99311,Aristolochiales|order Aristolochiales,Q1973300
11821507-n,family of birthworts (including wild ginger),i99312,Aristolochiaceae|family Aristolochiaceae|birthwort family,Q156446
11821716-n,birthworts; Dutchman's-pipe,i99313,Aristolochia|genus Aristolochia,Q156212
11823587-n,a family of parasitic plants of the order Aristolochiales,i99323,Rafflesiaceae|family Rafflesiaceae,Q157019
11823746-n,a family of flowering plants in Africa and Argentina that are parasitic on the roots of other plants,i99324,Hydnoraceae|family Hydnoraceae,Q132628
11824551-n,corresponds approximately to the older group Centrospermae,i99326,Caryophyllales|order Caryophyllales|Chenopodiales|order-Chenopodiales,Q21808
11825073-n,large family of herbs or subshrubs (usually with stems swollen at the nodes),i99328,Caryophyllaceae|family Caryophyllaceae|carnation family|pink family,Q25995
11825849-n,a caryophylloid dicot genus including corn cockles,i99330,Agrostemma|genus Agrostemma,Q148897
11830659-n,Mediterranean herbs having small white or pink flowers,i99357,Gypsophila|genus Gypsophila,Q161948
11831028-n,low-growing Old World herbs with minute bright green leaves,i99359,Hernaria|genus Hernaria|Herniaria,Q164172
11831777-n,genus of plants strongly resembling those of genus Silene: catchfly,i99363,genus Lychnis,Q158863
11832827-n,mostly perennial herbs of Northern Hemisphere often with mat-forming habit; most often placed in genus Arenaria: sandworts,i99368,Minuartia|genus Minuartia,Q163073
11834299-n,perennial tussock-forming rock plants; of Pyrenees and mountains of northern Spain; similar to and sometimes placed in genus Lychnis,i99374,Petrocoptis|genus Petrocoptis,Q10348998
11834909-n,mostly perennial Old World herbs,i99377,Saponaria|genus Saponaria,Q157500
11835293-n,small genus of Old World weedy prostrate annuals: knawel,i99379,Scleranthus|genus Scleranthus,Q158561
11837798-n,chiefly maritime Eurasian herbs: sand spurry; sea spurry,i99391,Spergularia|genus Spergularia,Q163048
11838984-n,cow-cockles,i99397,Vaccaria|genus Vaccaria,Q161470
11839414-n,succulent herbs or small shrubs mostly of South Africa but also New Zealand and North America: carpetweeds; fig marigolds,i99399,Aizoaceae|family Aizoaceae|Tetragoniaceae|family Tetragoniaceae|carpetweed family,Q156219
11840220-n,a caryophyllaceous genus of Dorotheanthus,i99402,Dorotheanthus|genus Dorotheanthus,Q143939
11841884-n,carpetweeds,i99410,Molluga|genus Molluga,Q2639601
11842636-n,New Zealand spinach,i99414,Tetragonia|genus Tetragonia,Q133932
11843026-n,cosmopolitan family of herbs and shrubs,i99416,Amaranthaceae|family Amaranthaceae|amaranth family,Q155931
11846457-n,genus of tropical herbs or subshrubs having flowers in close heads; tropical America and Australia,i99432,Gomphrena|genus Gomphrena,Q1446121
11846885-n,genus of tropical American herbs or subshrubs,i99434,Iresine|genus Iresine,Q1672624
11847468-n,used in former classifications systems; now included in genus Alternanthera,i99437,Telanthera|genus Telanthera,Q17377912
11847638-n,family coextensive with genus Batis: saltworts,i99438,Batidaceae|family Batidaceae|saltwort family,Q2094045
11848244-n,includes spinach and beets,i99441,Chenopodiaceae|family Chenopodiaceae|goosefoot family,Q157881
11852199-n,summer cypress,i99460,Bassia|genus Bassia|Kochia|genus Kochia,Q158343
11854617-n,glassworts,i99473,Salicornia|genus Salicornia,Q159525
11856275-n,a family of flowering plants of the order Caryophyllales,i99482,Nyctaginaceae|family Nyctaginaceae|Allioniaceae|family Allioniaceae|four-o'clock family,Q156227
11856606-n,a caryophyllaceous genus of the family Nyctaginaceae having only one species,i99483,Nyctaginia|genus Nyctaginia,Q10338319
11857025-n,genus of western North American herbs having showy flowers,i99485,Abronia|genus Abronia,Q312349
11858735-n,small genus of chiefly American herbs,i99493,Allionia|genus Allionia,Q950253
11859766-n,four o'clocks,i99498,Mirabilis|genus Mirabilis,Q158323
11861530-n,genus of often thorny tropical trees and shrubs and some vines; mainly America,i99506,Pisonia|genus Pisonia,Q135334
11861837-n,coextensive with the family Cactaceae: cactuses,i99508,Opuntiales|order Opuntiales,Q14915568
11864178-n,slow-growing geophytic cacti; northern and eastern Mexico; southern Texas,i99515,Ariocarpus|genus Ariocarpus,Q131642
11864672-n,caryophylloid dicot genus with only one species: saguaro,i99517,Carnegiea|genus Carnegiea,Q8175886
