wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
01880048-n,type genus of the family Macropodidae: typical kangaroos and wallabies,i45175,Macropus|genus Macropus,Q174322
01880844-n,hare wallabies,i45179,Lagorchestes|genus Lagorchestes,Q218873
01881141-n,a genus of Macropodidae,i45181,Onychogalea|genus Onychogalea,Q429799
01881444-n,rock wallabies,i45183,Petrogale|genus Petrogale,Q269253
01882020-n,tree wallabies,i45187,Dendrolagus|genus Dendrolagus,Q325064
01882342-n,musk kangaroos,i45189,Hypsiprymnodon|genus Hypsiprymnodon,Q10770484
01883578-n,phalangers; koalas,i45198,Phalangeridae|family Phalangeridae,Q23230
01884358-n,a genus of Phalangeridae containing the brushtail possums (Trichosurus),i45202,Trichosurus|genus Trichosurus,Q656173
01885013-n,a genus of Phalangeridae containing the feathertail glider (Acrobates),i45206,Acrobates|genus Acrobates,Q11110566
01885853-n,dasyures; native cats; pouched mice; banded anteaters; Tasmanian devils,i45212,Dasyuridae|family Dasyuridae|family Dasyurinae,Q23133
01886403-n,type genus of the family Dasyuridae: native cats,i45214,Dasyurus|genus Dasyurus,Q379740
01887344-n,Tasmanian devil,i45220,Sarcophilus|genus Sarcophilus,Q937821
01887673-n,pouched mice,i45222,Phascogale|genus Phascogale,Q1754387
01888008-n,banded anteater,i45224,Myrmecobius|genus Myrmecobius,Q10795872
01888365-n,pouched moles,i45226,Notoryctidae|family Notoryctidae,Q13166786
01888497-n,type genus of the family Notoryctidae: comprising solely the marsupial mole,i45227,Notoryctus|genus Notoryctus,Q234792
01891969-n,moles,i45243,Talpidae|family Talpidae,Q104825
01892381-n,star-nosed moles,i45245,Condylura|genus Condylura,Q10749625
01892674-n,brewer's moles,i45247,Parascalops|genus Parascalops,Q19816787
01892915-n,golden moles,i45249,Chrysochloridae|family Chrysochloridae,Q23351
01893052-n,type genus of the Chrysochloridae,i45250,Chrysochloris|genus Chrysochloris,Q599385
01893359-n,"a genus of shrew moles, containing the Anderson's shrew mole, the gracile shrew mole, the inquisitive shrew mole, and the Chinese shrew mole (Uropsilus)",i45252,Uropsilus|genus Uropsilus,Q867212
01894506-n,type genus of the family Soricidae: shrews,i45259,Sorex|genus Sorex,Q5607349
01894912-n,a genus of fairly large shrews with fairly short tails (Blarina),i45262,Blarina|genus Blarina,Q468813
01895517-n,a genus of Soricidae,i45266,Neomys|genus Neomys,Q1352331
01896307-n,type genus of the family Erinaceidae: hedgehogs,i45272,Erinaceus|genus Erinaceus,Q498993
01897022-n,type genus of the family Tenrecidae: tenrecs,i45276,genus Tenrec,Q15402150
01897311-n,otter shrews,i45278,Potamogalidae|family Potamogalidae,Q33135586
01897444-n,type genus of the family Potamogalidae: otter shrews,i45279,genus Potamogale,Q18175529
01910136-n,sponges with siliceous spicules that have six rays; choanocytes are restricted to finger-shaped chambers,i45360,Hyalospongiae|class Hyalospongiae,Q4137253
01910543-n,a genus of Hyalospongiae,i45362,Euplectella|genus Euplectella,Q3060446
01913912-n,a genus of Scyphozoa,i45377,Chrysaora|genus Chrysaora,Q976832
01915676-n,Portuguese man-of-war,i45387,Physalia|genus Physalia,Q2704401
01916174-n,sessile hydroid that forms feathery colonies,i45391,Sertularia|genus Sertularia,Q3958000
01918055-n,sea pens,i45401,Pennatulidae|family Pennatulidae,Q1116222
01919379-n,stony corals,i45410,Madreporaria|order Madreporaria,Q195605
01919808-n,brain corals,i45412,Maeandra|genus Maeandra,Q115770614
01920392-n,a genus comprising the usual mushroom corals,i45416,Fungia|genus Fungia,Q2710067
01921740-n,ctenophores lacking tentacles; comprises one genus: beroe,i45423,Nuda|class Nuda,Q136620
01922145-n,ctenophores have retractile tentacles,i45426,Tentaculata|class Tentaculata,Q131799
01922355-n,ctenophores having two long pinnate tentacles,i45427,Cydippida|order Cydippida|Cydippidea|order Cydippidea|Cydippea|order Cydippea,Q151079
01922819-n,the family of sea gooseberries (Pleurobrachiidae),i45430,Pleurobrachiidae|family Pleurobrachiidae,Q3826253
01922943-n,a genus of sea gooseberries (Pleurobrachia),i45431,Pleurobrachia|genus Pleurobrachia,Q3005619
01923376-n,coextensive with the order Cestida; ctenophores having a greatly flattened and elongated body,i45434,Cestidae|family Cestidae,Q2947068
01923580-n,Venus's girdle,i45435,Cestum|genus Cestum,Q18518956
01923857-n,ctenophore having tentacles only in the immature stage; body compressed vertically having two large oral lobes and four pointed processes,i45437,Lobata|order Lobata,Q149121
01926792-n,chief genus of Chaetognatha including the largest arrowworms,i45449,genus Sagitta,Q4404443
01927057-n,marine worms resembling the sagittas but with a broader body and only one pair of lateral fins,i45451,genus Spadella,Q2330212
01929190-n,a genus of Fasciolidae containing the trematode Fasciolopsis buski (Fasciolopsis),i45463,Fasciolopsis|genus Fasciolopsis,Q19838628
01930306-n,a family of Cestoda,i45470,Taeniidae|family Taeniidae,Q141694
01930714-n,type genus of the family Taeniidae: tapeworms,i45473,genus Taenia,Q310997
01931001-n,proboscis worms,i45475,Nemertea|phylum Nemertea|Nemertina|phylum Nemertina,Q185631
01931378-n,beard worms,i45477,Pogonophora|phylum Pogonophora,Q15229174
01932429-n,one of two subgroups of Nematoda used in some classification systems,i45482,Aphasmidia|class Aphasmidia,Q17156
01932592-n,"one of two subgroups of Nematoda used in some classification systems, comprises worms having typically papillose sensory organs, phasmids, lateral cervical papillae, and simple lateral sensory depressions at the anterior end which resemble pores (Phasmidia)",i45483,Phasmidia|class Phasmidia,Q17157
01933126-n,large roundworms parasitic in intestines of vertebrates,i45485,Ascaridae|family Ascaridae,Q763856
01933313-n,type genus of the family Ascaridae: roundworms with a three-lipped mouth,i45486,Ascaris|genus Ascaris,Q310838
01933636-n,roundworm having a preanal sucker,i45488,Ascaridia|genus Ascaridia,Q4803791
01933918-n,"a family of nematode worms containing eight genera, including the one consisting of pinworms (Oxyuridae)",i45490,Oxyuridae|family Oxyuridae,Q2628603
01934486-n,a family of Nematoda,i45494,Cephalobidae|family Cephalobidae,Q5266809
01934999-n,"a family of Nematoda, containing the subfamilies Atylenchinae, Boleodorinae, Ecphyadophorinae, Tylenchinae, and Tylodorinae (Tylenchidae)",i45497,Tylenchidae|family Tylenchidae,Q3546007
01935136-n,type genus of the family Tylenchidae,i45498,Tylenchus|genus Tylenchus,Q10707022
01935441-n,hookworms,i45500,Ancylostomatidae|family Ancylostomatidae,Q3093248
01935983-n,threadlike roundworms,i45503,Filariidae|family Filariidae,Q1530508
01936327-n,greatly elongated roundworm,i45505,Dracunculidae|family Dracunculidae,Q2367224
01936475-n,type genus of the family Dracunculidae,i45506,Dracunculus|genus Dracunculus,Q2341780
01937346-n,a class of Annelida,i45510,Archiannelida|class Archiannelida,Q1072243
01938384-n,small annelid worms with the posterior end modified into an adhesive sucker; especially formerly regarded as modified leeches,i45515,Branchiobdellidae|family Branchiobdellidae,Q5168736
01938638-n,type genus of the Branchiobdellidae: a small worm that lives on the gills or surface of a crayfish attached by a sucker,i45516,Branchiobdella|genus Branchiobdella,Q5160275
01939875-n,type genus of Terebellidae; tube-forming marine polychete worms with many filamentous tentacles,i45522,Terebella|genus Terebella,Q3901901
01940063-n,genus of soft-bodied polychete marine worms,i45523,Polycirrus|genus Polycirrus,Q3904449
01940796-n,a family of Hirudinea,i45527,Hirudinidae|family Hirudinidae,Q5166500
01940953-n,type genus of the family Hirudinidae,i45528,Hirudo|genus Hirudo,Q15455059
01945242-n,abalones,i45542,Haliotidae|family Haliotidae,Q3126001
01945365-n,type genus of the family Haliotidae,i45543,Haliotis|genus Haliotis,Q190093
01945854-n,the family of conchs,i45546,Strombidae|family Strombidae,Q732932
01946008-n,scorpion shells of shallow tropical waters of the eastern hemisphere,i45547,Lambis|genus Lambis,Q2637458
01946395-n,type genus of the family Strombidae,i45549,Strombus|genus Strombus,Q858772
01946858-n,land snails including the common edible snail and some pests,i45552,Helicidae|family Helicidae,Q1418257
01949128-n,type genus of the Neritidae,i45565,genus Nerita,Q3170508
01949916-n,whelks,i45570,Buccinidae|family Buccinidae,Q24115
01950254-n,tritons,i45572,Cymatiidae|family Cymatiidae,Q35083222
01950515-n,moonshells,i45574,Naticidae|family Naticidae,Q1563463
01951558-n,type genus of the family Patellidae: common European limpets,i45581,Patella|genus Patella,Q4882696
01951836-n,"a family of marine limpets, containing the keyhole limpets and slit limpets (Fissurellidae)",i45583,Fissurellidae|family Fissurellidae,Q1043930
01951971-n,type genus of the family Fissurellidae: keyhole limpets,i45584,Fissurella|genus Fissurella,Q3168678
01952325-n,freshwater gastropod,i45586,Ancylidae|family Ancylidae,Q3076242
01953098-n,comprising numerous marine gastropod mollusks lacking a shell in the adult state and usually having a body like a slug,i45590,Nudibranchia|order Nudibranchia,Q733595
01953593-n,sea hares,i45592,Aplysiidae|family Aplysiidae|Tethyidae|family Tethyidae,Q618732
01953748-n,type genus of the family Aplysiidae,i45593,Aplysia|genus Aplysia|Tethys|genus Tethus,Q136564
01954113-n,genus of marine sea slugs,i45595,Hermissenda|genus Hermissenda,Q25094548
01954486-n,common genus of marine bubble shells of the Pacific coast of North America,i45598,Haminoea|genus Haminoea,Q1033382
01955070-n,freshwater snails,i45601,Physidae|family Physidae,Q881848
01955453-n,large order of gastropods comprising univalve mollusks that have a single gill resembling a comb,i45604,Pectinibranchia|order Pectinibranchia,Q1187122
01957603-n,a genus of Polyplacophora,i45616,genus Chiton,Q2528273
01959565-n,clams,i45625,Myaceae|order Myaceae|Myida|order Myida,Q29876893
01959843-n,type genus of the family Myacidae,i45627,Mya|genus Mya,Q3331302
01960380-n,type genus of the family Veneridae: genus of edible clams with thick oval shells,i45630,Venus|genus Venus,Q1408724
01960564-n,a genus of Veneridae,i45631,Mercenaria|genus Mercenaria,Q1408734
01961431-n,razor clams,i45636,Solenidae|family Solenidae,Q910699
01961555-n,razor clams in the family Pharidae (Ensis),i45637,Ensis|genus Ensis,Q2706031
01961828-n,large marine hard-shell clams,i45639,Tridacnidae|family Tridacnidae,Q2724253
01961974-n,type genus of the family Tridacnidae: giant clams,i45640,Tridacna|genus Tridacna,Q2387255
01962475-n,type genus of the family Cardiidae: cockles,i45643,Cardium|genus Cardium,Q2777123
01964864-n,saddle oysters,i45657,Anomiidae|family Anomiidae,Q540805
01964991-n,type genus of the family Anomiidae: saddle oysters,i45658,Anomia|genus Anomia,Q2852294
01965303-n,windowpane oysters,i45660,Placuna|genus Placuna,Q18590881
01965658-n,ark shells,i45662,Arcidae|family Arcidae,Q632636
01965777-n,type genus of the family Arcidae: ark shells and blood clams,i45663,Arca|genus Arca,Q737991
01966371-n,marine mussels,i45667,Mytilidae|family Mytilidae,Q386633
01966517-n,type genus of the family Mytilidae: smooth-shelled marine mussels,i45668,Mytilus|genus Mytilus,Q21132
01967277-n,freshwater mussels found worldwide,i45672,Unionidae|family Unionidae,Q1434366
01967462-n,type genus of the family Unionidae,i45673,Unio|genus Unio,Q1434357
01967752-n,thin-shelled freshwater mussels,i45675,Anodonta|genus Anodonta,Q1768065
01968045-n,zebra mussels,i45677,Dreissena|genus Dreissena,Q4998707
01969438-n,shipworms,i45684,Teredinidae|family Teredinidae,Q14524890
01970037-n,giant shipworms,i45688,Bankia|genus Bankia,Q2882662
01970453-n,type genus of the family Pholadidae: piddocks,i45691,Pholas|genus Pholas,Q3014615
01972671-n,type genus of the family Octopodidae,i45703,genus Octopus,Q611843
01972983-n,represented solely by the genus Argonauta,i45705,Argonautidae|family Argonautidae,Q2148313
01973143-n,type genus of the family Argonautidae: paper nautilus,i45706,Argonauta|genus Argonauta,Q2050688
01974369-n,a genus of Decapoda,i45713,genus Ommastrephes,Q18519392
01975374-n,coextensive with the genus Spirula; included in the order Belemnoidea in some older classifications,i45720,Spirulidae|family Spirulidae,Q17302119
01975588-n,genus of small cephalopods with many-chambered spiral shells resembling those of the extinct belemnites,i45721,genus Spirula,Q17302116
01976016-n,order of extinct dibranchiate cephalopods related to the surviving spirulas,i45723,Belemnoidea|order Belemnoidea,Q14900832
01976207-n,family of extinct Mesozoic cephalopods,i45724,Belemnitidae|family Belemnitidae,Q21224730
01980007-n,stone crabs,i45738,Menippe|genus Menippe,Q6497159
01980473-n,type genus of the family Cancridae,i45741,Cancer|genus Cancer,Q428243
01981765-n,type genus of the family Portunidae,i45749,Portunus|genus Portunus,Q3399586
01982694-n,fiddler crabs,i45755,Uca|genus Uca,Q1329937
01983112-n,type genus of the family Pinnotheridae: pea crabs,i45758,Pinnotheres|genus Pinnotheres,Q2791630
01983634-n,deep-sea crabs of cold waters,i45761,Lithodidae|family Lithodidae,Q1861297
01983778-n,a genus of Lithodidae,i45762,Paralithodes|genus Paralithodes,Q3363478
01984184-n,spider crabs,i45764,Majidae|family Majidae,Q943664
01984525-n,type genus of the Majidae; nearly cosmopolitan in distribution,i45766,Maja|genus Maja|Maia|genus Maia,Q2224398
01985536-n,large-clawed lobsters,i45772,Homaridae|family Homaridae,Q33150195
01985918-n,type genus of the family Homaridae: common edible lobsters,i45774,Homarus|genus Homarus,Q11827352
01986599-n,in some classifications coextensive with the Homaridae,i45778,Nephropsidae|family Nephropsidae,Q33138226
01986772-n,a genus of Nephropsidae,i45779,Nephrops|genus Nephrops,Q10336345
01987188-n,type genus of the family Palinuridae,i45782,Palinurus|genus Palinurus,Q2736968
01987972-n,type genus of the family Astacidae; Old World crayfish,i45786,Astacus|genus Astacus,Q1942450
01988308-n,a genus of Astacidae,i45788,Cambarus|genus Cambarus,Q309206
01988713-n,type genus of the family Paguridae,i45791,Pagurus|genus Pagurus,Q2480027
01989322-n,type genus of the family Crangonidae,i45795,Crangon|genus Crangon,Q148143
01989869-n,prawns,i45798,Palaemonidae|family Palaemonidae,Q1404181
01989994-n,type genus of the family Palaemonidae; widely distributed genus,i45799,Palaemon|genus Palaemon,Q1269791
01990579-n,tropical prawns,i45802,Peneidae|family Peneidae,Q683918
01990705-n,type genus of the family Peneidae,i45803,Peneus|genus Peneus,Q3011709
01991612-n,opossum shrimp,i45809,Mysidacea|order Mysidacea,Q1208947
01991738-n,small shrimp-like crustaceans,i45810,Mysidae|family Mysidae,Q3859197
01991895-n,type genus of the family Mysidae,i45811,Mysis|genus Mysis,Q601140
01992031-n,a genus of Mysidae,i45812,Praunus|genus Praunus,Q3860707
01992827-n,crustaceans that burrow in mud or under stones in shallow water along the seashore,i45817,Squillidae|family Squillidae,Q665408
01994330-n,a family of Isopoda,i45826,Oniscidae|family Oniscidae,Q3012315
01994636-n,sow bugs,i45828,Porcellionidae|family Porcellionidae,Q3012099
01994767-n,Old World genus of isopod crustaceans,i45829,Porcellio|genus Porcellio,Q660684
01995589-n,beach fleas,i45834,Orchestiidae|family Orchestiidae,Q21589779
01995719-n,type genus of the family Orchestiidae,i45835,Orchestia|genus Orchestia,Q3355241
01996054-n,skeleton shrimp,i45837,Caprella|genus Caprella,Q3932187
01996368-n,whale lice,i45839,Cyamus|genus Cyamus,Q3933445
01997791-n,small aquatic crustaceans lacking a carapace: fairy shrimps; brine shrimps,i45846,Anostraca|order Anostraca,Q853383
01997977-n,fairy shrimp; brine shrimp,i45847,Artemia|genus Artemia|Chirocephalus|genus Chirocephalus,Q1145843
01998457-n,small freshwater crustaceans with a shield-shaped carapace,i45850,Notostraca|order Notostraca,Q3344541
01998629-n,a family of Notostraca,i45851,Triopsidae|family Triopsidae,Q4569752
01998745-n,type genus of the family Triopsidae: small crustaceans with a small third median eye,i45852,Triops|genus Triops,Q114364
02000090-n,copepods with suctorial mouthparts; parasitic on fishes,i45859,Branchiura|order Branchiura,Q841641
02001121-n,stalkless barnacles,i45865,Balanidae|family Balanidae,Q266221
02001253-n,type genus of the family Balanidae,i45866,Balanus|genus Balanus,Q2336729
02001574-n,goose barnacles,i45868,Lepadidae|family Lepadidae,Q1812499
02002028-n,enigmatic small elongated wormlike terrestrial invertebrates of damp dark habitats in warm regions; distinct from the phylum Annelida; resemble slugs with legs and are sometimes described as the missing link between arthropods and annelids,i45871,Onychophora|class Onychophora,Q18596606
02003008-n,a genus of Peripatidae,i45875,Plicatoperipatus|genus Plicatoperipatus,Q15149876
02003272-n,a family of southern velvet worms,i45877,Peripatopsidae|family Peripatopsidae,Q140169
02003418-n,type genus of Peripatopsidae; onychophorans of chiefly Asiatic and African tropical regions,i45878,Peripatopsis|genus Peripatopsis,Q2352640
02004082-n,"order of chiefly tropical marsh-dwelling fish-eating wading birds with long legs and bills and (except for flamingos) unwebbed feet: herons, storks, spoonbills, flamingos, ibises",i45880,Ciconiiformes|order Ciconiiformes,Q21716
02005038-n,type genus of the Ciconiidae: European storks,i45883,Ciconia|genus Ciconia,Q6471715
02006389-n,jabirus,i45891,genus Jabiru,Q3157022
02006648-n,saddlebills,i45893,Ephippiorhynchus|genus Ephippiorhynchus,Q990042
02006997-n,East Indian and Australian storks,i45895,Xenorhyncus|genus Xenorhyncus,Q18520791
02007892-n,type genus of the Balaenicipitidae: shoebills,i45900,Balaeniceps|genus Balaeniceps,Q18000303
02008616-n,ibises,i45904,genus Ibis,Q18515513
02008865-n,type genus of the Threskiornithidae,i45906,Threskiornis|genus Threskiornis,Q917005
02009164-n,spoonbills,i45908,Plataleidae|family Plataleidae,Q127162954
02009481-n,type genus of the Plataleidae,i45910,Platalea|genus Platalea,Q208488
02009815-n,a genus of Platalea,i45912,Ajaia|genus Ajaia,Q107272848
02012274-n,a white egrets,i45926,Casmerodius|genus Casmerodius,Q21446665
02012798-n,small white egrets,i45929,Bubulcus|genus Bubulcus,Q947895
02013246-n,Old World night herons,i45932,Nycticorax|genus Nycticorax,Q133003
02013810-n,boatbills,i45936,Cochlearius|genus Cochlearius,Q10749386
02014322-n,a genus of large bitterns (Botaurus),i45939,Botaurus|genus Botaurus,Q739050
02014717-n,a genus of small bitterns (Ixobrychus),i45942,Ixobrychus|genus Ixobrychus,Q244078
02014960-n,"inland marsh-dwelling birds with long legs and necks and bills that wade in water in search of food: cranes, rails, bustards",i45944,Gruiformes|order Gruiformes,Q25557
02015369-n,cranes,i45945,Gruidae|family Gruidae,Q25365
02015688-n,type genus of the Gruidae: typical cranes,i45947,Grus|genus Grus,Q47549
02016016-n,genus of large brown long-billed wading birds found in warm swampy regions of the western hemisphere: courlan; limpkin,i45949,Aramus|genus Aramus,Q12785142
02016715-n,the type genus of the Cariamidae comprising only the crested cariama,i45953,Cariama|genus Cariama,Q2261506
02017060-n,a genus of Cariamidae,i45955,genus Chunga,Q10748080
02018339-n,corncrakes,i45962,Crex|genus Crex,Q289873
02018598-n,spotted crakes,i45964,Porzana|genus Porzana,Q835525
02019747-n,Old World purple gallinules,i45971,Porphyrio|genus Porphyrio,Q1137291
02019989-n,American purple gallinules,i45973,Porphyrula|genus Porphyrula,Q21446588
02020261-n,a genus of Rallidae,i45975,genus Notornis,Q21445741
02021698-n,type genus of the Otididae: European bustard,i45984,Otis|genus Otis,Q4288490
02021962-n,Australian bustard,i45986,Choriotis|genus Choriotis,Q2194882
02022220-n,small Old World birds resembling but not related to true quail,i45988,Turnicidae|family Turnicidae,Q205320
02022416-n,type genus of the Turnicidae: button quail,i45989,Turnix|genus Turnix,Q1608770
02023104-n,plain wanderer,i45993,Pedionomus|genus Pedionomus,Q10804436
02023556-n,type genus of the Psophiidae: trumpeters,i45996,Psophia|genus Psophia,Q10809431
02027007-n,golden plovers,i46010,Pluvialis|genus Pluvialis,Q2359014
02027290-n,Eurasian lapwings,i46012,Vanellus|genus Vanellus,Q13426919
02029152-n,a genus of Scolopacidae,i46020,Aphriza|genus Aphriza,Q10734553
02029452-n,"a genus of Scolopacidae, comprising the common sandpiper and the spotted sandpiper (Actitis)",i46022,Actitis|genus Actitis,Q310859
02029863-n,"a genus of Scolopacidae, containing some stints and sandpipers (Erolia)",i46025,Erolia|genus Erolia,Q41153518
02031897-n,"a genus of Scolopacidae, containing the sanderling (Crocethia)",i46038,Crocethia|genus Crocethia,Q107272785
02032225-n,"a genus of Scolopacidae, includes the upland sandpiper (Bartramia)",i46040,Bartramia|genus Bartramia,Q2789944
02032568-n,ruffs,i46042,Philomachus|genus Philomachus,Q15101016
02033096-n,tattlers,i46046,Heteroscelus|genus Heteroscelus,Q2312123
02033363-n,willet,i46048,Catoptrophorus|genus Catoptrophorus,Q25958002
02033797-n,type of the Scolopacidae: Old World woodcocks,i46051,Scolopax|genus Scolopax,Q642855
02034406-n,snipes,i46055,Gallinago|genus Gallinago|Capella|genus Capella,Q786045
02035300-n,snipe,i46060,Limnocryptes|genus Limnocryptes,Q10787358
02036098-n,curlews,i46066,Numenius|genus Numenius,Q215166
02036670-n,godwits,i46070,Limosa|genus Limosa,Q585636
02038499-n,one of two genera of stilts; similar to avocets but with straight bills,i46079,Cladorhyncus|genus Cladorhyncus,Q10748948
02039053-n,long-legged shorebirds,i46082,Recurvirostridae|family Recurvirostridae,Q27042
02039202-n,type genus of the Recurvirostridae: avocets,i46083,Recurvirostra|genus Recurvirostra,Q286072
02039518-n,the family of oystercatchers (Haematopodidae),i46085,Haematopodidae|family Haematopodidae,Q12845592
02039636-n,the genus of oystercatchers (Haematopus),i46086,Haematopus|genus Haematopus,Q27515
02040367-n,type genus of the Phalaropidae: phalaropes,i46090,Phalaropus|genus Phalaropus|Lobipes|genus Lobipes|Steganopus|genus Steganopus,Q253776
02042314-n,"a genus of coursers, containing the Egyptian plover (Pluvianus)",i46102,Pluvianus|genus Pluvianus,Q10807623
02042596-n,large wading birds resembling the plovers: stone curlews,i46104,Burhinidae|family Burhinidae,Q145854
02042767-n,type genus of the Burhinidae: stone curlews,i46105,Burhinus|genus Burhinus,Q220598
02044996-n,"a genus of Laridae, containing the ivory gull (Pagophila)",i46117,Pagophila|genus Pagophila,Q10803699
02045291-n,"a genus of Laridae, containing the kittiwakes (Rissa)",i46119,Rissa|genus Rissa,Q310848
02046151-n,coextensive with the genus Rynchops: skimmers,i46125,Rynchopidae|family Rynchopidae,Q17190971
02046313-n,type genus of the Rynchopidae: skimmers,i46126,Rynchops|genus Rynchops,Q212941
02047012-n,type genus of the Stercorariidae: jaegers,i46130,Stercorarius|genus Stercorarius,Q1053111
02047313-n,skuas,i46132,Catharacta|genus Catharacta,Q28125230
02048359-n,type genus of the Alcidae comprising solely the razorbill,i46138,Alca|genus Alca,Q3608921
02048699-n,a genus of Alcidae,i46140,Plautus|genus Plautus,Q61883572
02049267-n,a genus of birds including: guillemots,i46144,Cepphus|genus Cepphus,Q132913
02050896-n,a proposed monotypic genus for tufted puffins,i46156,Lunda|genus Lunda,Q50698074
02051168-n,large aquatic birds: loons and some extinct forms,i46158,Gaviiformes|order Gaviiformes,Q2814783
02051486-n,loon family,i46160,Gavidae|family Gavidae,Q21666
02051953-n,grebes,i46163,Podicipitiformes|order Podicipitiformes|Podicipediformes|order Podicipediformes|Colymbiformes|order Colymbiformes,Q20604429
02052509-n,type genus of the Podicipedidae: grebes,i46166,Podiceps|genus Podiceps,Q1237815
02054355-n,pelicans,i46176,Pelecanidae|family Pelecanidae,Q11846678
02055165-n,frigate birds,i46181,Fregatidae|family Fregatidae,Q15631713
02055293-n,type genus of the Fregatidae,i46182,Fregata|genus Fregata,Q203472
02055590-n,gannets and boobies,i46184,Sulidae|family Sulidae,Q208492
02056374-n,cormorants,i46189,Phalacrocoracidae|family Phalacrocoracidae,Q3901247
02057030-n,type genus of the Anhingidae,i46193,genus Anhinga,Q13168473
02057488-n,tropicbirds,i46196,Phaethontidae|family Phaethontidae,Q17189371
02057620-n,type genus of the Phaethontidae,i46197,Phaethon|genus Phaethon,Q19264
02057934-n,penguins,i46199,Sphenisciformes|order Sphenisciformes,Q12198609
02058745-n,a genus of Spheniscidae,i46203,Pygoscelis|genus Pygoscelis,Q609432
02059075-n,large penguins,i46205,Aptenodytes|genus Aptenodytes,Q652976
02059527-n,type genus of the Spheniscidae: jackass penguins,i46208,Spheniscus|genus Spheniscus,Q902912
02059862-n,rock hoppers,i46210,Eudyptes|genus Eudyptes,Q591480
02061107-n,type of the Diomedeidae,i46217,genus Diomedea,Q905872
02062376-n,giant petrels,i46224,Macronectes|genus Macronectes,Q598979
02062669-n,fulmars,i46226,Fulmarus|genus Fulmarus,Q311224
02062943-n,shearwaters,i46228,Puffinus|genus Puffinus,Q858279
02063372-n,storm petrels,i46231,Hydrobatidae|family Hydrobatidae,Q193404
02063726-n,type genus of the Hydrobatidae,i46233,Hydrobates|genus Hydrobates,Q10770062
02064078-n,a genus of Hydrobatidae,i46235,Oceanites|genus Oceanites,Q2347332
02064369-n,diving petrels,i46237,Pelecanoididae|family Pelecanoididae,Q18325201
02066169-n,right whales,i46245,Balaenidae|family Balaenidae,Q782603
02066499-n,type genus of the Balaenidae: Greenland whales,i46247,Balaena|genus Balaena,Q4820658
02067261-n,type genus of the Balaenopteridae,i46251,Balaenoptera|genus Balaenoptera,Q133320
02068252-n,humpback whales,i46256,Megaptera|genus Megaptera,Q12771348
02068739-n,type and sole genus of the Eschrichtiidae,i46259,Eschrichtius|genus Eschrichtius,Q12778450
02069753-n,type genus of the Physeteridae,i46264,Physeter|genus Physeter,Q3382003
02070115-n,pygmy sperm whales,i46266,Kogia|genus Kogia,Q244293
02070594-n,beaked whales; in some especially former classifications included in the family Physeteridae,i46269,Ziphiidae|family Ziphiidae|Hyperodontidae|family Hyperodontidae,Q193106
02071061-n,bottle-nosed whales,i46271,Hyperoodon|genus Hyperoodon,Q949450
02072221-n,a genus of Delphinidae,i46277,Tursiops|genus Tursiops,Q149069
02073575-n,grampus,i46285,genus Grampus,Q15631679
02074158-n,pilot whales,i46289,Globicephala|genus Globicephala,Q459616
02075007-n,type genus of the Monodontidae,i46294,Monodon|genus Monodon,Q18510798
02075317-n,white whale,i46296,Delphinapterus|genus Delphinapterus,Q16628343
02076184-n,comprising only the manatees,i46301,Trichechidae|family Trichechidae,Q10827895
02076331-n,type and sole genus of the Trichechidae,i46302,Trichechus|genus Trichecus,Q42797
02076866-n,type genus of the Dugongidae comprising only the dugongs,i46305,genus Dugong,Q10978076
02080811-n,type genus of the Otariidae,i46325,Otaria|genus Otaria,Q19817140
02081088-n,a genus of sea lions and fur seals (Zalophus),i46327,Zalophus|genus Zalophus,Q135911
02081534-n,a genus of sea lions containing the steller sea lion (Eumetopias),i46330,Eumetopias|genus Eumetopias,Q18520866
02082358-n,type genus of the Phocidae: earless seals,i46334,Phoca|genus Phoca,Q878742
02082674-n,harp seals,i46336,Pagophilus|genus Pagophilus,Q19817285
02083238-n,bearded seals,i46340,Erignathus|genus Erignathus,Q19817175
02083586-n,hooded seals,i46342,Cystophora|genus Cystophora,Q19817156
02084075-n,type genus of the Odobenidae: walruses,i46345,Odobenus|genus Odobenus,Q5361186
02085010-n,an order of Eutheria containing the aardvark as the only living species (Tubulidentata),i46351,Tubulidentata|order Tubulidentata,Q1082523
02085284-n,coextensive with the family Orycteropodidae,i46353,Orycteropus|genus Orycteropus,Q1975774
02085690-n,"dogs, wolves, jackals, foxes",i46355,Canidae|family Canidae,Q25324
02086515-n,"type genus of the Canidae: domestic and wild dogs, wolves, jackals",i46359,Canis|genus Canis,Q149892
02118427-n,Asiatic wild dog,i46558,Cuon|Cyon|genus Cuon|genus Cyon,Q19817116
02119282-n,African hunting dog,i46564,Lycaeon|genus Lycaeon,Q12061410
02120021-n,type genus of the Hyaenidae,i46568,genus Hyaena,Q1417638
02120424-n,a genus of Hyaenidae,i46571,Crocuta|genus Crocuta,Q10750855
02120710-n,aardwolf,i46573,Proteles|genus Proteles,Q18510844
02121506-n,foxes,i46578,Vulpes|genus Vulpes,Q185194
02122613-n,arctic foxes,i46585,Alopex|genus Alopex,Q223410
02123344-n,"cats, wildcats, lions, leopards, cheetahs, saber-toothed tigers",i46590,Felidae|family Felidae,Q25265
02129603-n,lynxes,i46628,genus Lynx,Q677014
