wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid,wn_qid_candidate,qid_count_original,wd_label,wd_parent,wd_description
11838740-n,low-growing north temperate herb having small white star-shaped flowers; named for its alleged ability to ease sharp pains in the side,i99396,stitchwort|greater stitchwort|starwort|Stellaria holostea,Q94303275|Q157452,Q94303275,2,Rabelera holostea,Rabelera,species of plant
11871387-n,small clustering cactus of southwestern United States; a threatened species,i99552,Knowlton's cactus|Pediocactus knowltonii,Q94384402|Q150706,Q94384402,2,Pediocactus simpsonii var. knowltonii,Pediocactus simpsonii,
11839105-n,European annual with pale rose-colored flowers; cultivated flower or self-sown grainfield weed; introduced in North America; sometimes classified as a soapwort,i99398,cowherb|cow cockle|Vaccaria hispanica|Vaccaria pyramidata|Saponaria vaccaria,Q94409869|Q50877763,Q94409869,2,Vaccaria hispanica subsp. pyramidata,Vaccaria hispanica,
12672372-n,Old World tree having sweet gritty-textured juicy fruit; widely cultivated in many varieties,i103361,pear|pear tree|Pyrus communis,Q94442924|Q146281,Q94442924,2,Pyrus ×dasyphylla,Pyrus,species of plant
12239007-n,tree yielding hard heavy reddish wood,i101292,beefwood|Grevillea striata,Q65940485|Q954138,Q954138,2,Grevillea striata,Grevillea,species of plant
11860536-n,California four o'clock with purple-red flowers,i99502,California four o'clock|Mirabilis laevis|Mirabilis californica,Q50859393|Q95945753|Q4295494,Q95945753,3,Mirabilis californica,Mirabilis,species of plant
11951257-n,perennial cottony-white herb of southwestern United States,i99918,western mugwort|white sage|cudweed|prairie sage|Artemisia ludoviciana|Artemisia gnaphalodes,Q42681972|Q95983836|Q2716821,Q95983836,3,Artemisia gnaphalodes,Artemisia,species of plant
11937876-n,flower of southwestern Australia having bright pink daisylike papery flowers; grown for drying,i99851,pink-and-white everlasting|pink paper daisy|Acroclinium roseum,Q3429583|Q96012655,Q96012655,2,Acroclinium roseum,Acroclinium,species of plant
13077367-n,a beautiful but poisonous bolete; has a brown cap with a scarlet pore surface and a thick reticulate stalk,i105333,Boletus pulcherrimus,Q96776498|Q4094251,Q96776498,2,Rubroboletus pulcherrimus,Rubroboletus,Species of mushroom
13077559-n,an edible fungus with a broadly convex blackish brown cap and a pore surface that is yellow when young and darkens with age; stalk is thick and enlarges toward the base,i105334,Boletus pulverulentus,Q41596453|Q976933,Q976933,2,Boletus pulverulentus,Boletus,species of fungus
12651760-n,North American wild strawberry with sweet scarlet fruit; a source of many cultivated strawberries,i103258,Virginia strawberry|scarlet strawberry|Fragaria virginiana,Q15545616|Q978247,Q978247,2,Virginia strawberry,Fragaria,species of plant
11564466-n,a common liverwort,i98262,hepatica|Marchantia polymorpha,Q15348827|Q992846,Q992846,2,Marchantia polymorpha,Marchantia,species of liverwort
