wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid,wn_qid_candidate,qid_count_original,wd_label,wd_parent,wd_description
11778745-n,shrubby Australian tree having clusters of fragrant golden yellow flowers; widely cultivated as an ornamental,i99110,golden wattle|Acacia pycnantha,Q15531407|Q516233,Q15531407,2,Racosperma pycnanthum,Racosperma,species of plant
12932200-n,annual of Mexico and southern United States having edible purplish viscid fruit resembling small tomatoes,i104617,tomatillo|jamberry|Mexican husk tomato|Physalis ixocarpa,Q92954215|Q15532679,Q15532679,2,Physalis ixocarpa,Physalis,species of plant
12671140-n,deciduous Chinese shrub or small tree with often trilobed leaves grown for its pink-white flowers,i103354,flowering almond|Prunus triloba,Q15532819|Q2727171,Q15532819,2,Amygdalus triloba,Amygdalus,species of plant
12601858-n,a wisteria of China having white flowers,i103007,silky wisteria|Wisteria venusta,Q15532945|Q15235903,Q15532945,2,Rehsonia venusta,Rehsonia,species of plant
12661941-n,small hybrid apricot of Asia and Asia Minor having purplish twigs and white flowers following by inferior purple fruit,i103307,purple apricot|black apricot|Prunus dasycarpa,Q15533117|Q16988612,Q15533117,2,Armenoprunus dasycarpa,Armenoprunus,species of plant
12667711-n,frequently cultivated Eurasian evergreen shrub or small tree having showy clusters of white flowers and glossy foliage and yielding oil similar to bitter almond oil,i103336,cherry laurel|laurel cherry|Prunus laurocerasus,Q15534675|Q157508,Q15534675,2,Cerasus laurocerasus,Cerasus,species of plant
12565934-n,low-growing much-branched perennial of Canary Islands having orange-red to scarlet or purple flowers; naturalized in United States,i102838,coral gem|Lotus berthelotii,Q15537502|Q5492395,Q15537502,2,Heinekenia berthelotii,Heinekenia,species of plant
12534643-n,shrub of western United States having pink or crimson flowers; often forms thickets,i102691,western redbud|California redbud|Cercis occidentalis,Q15538466|Q5063945,Q15538466,2,Siliquastrum occidentale,Siliquastrum,species of plant
12561471-n,scrambling perennial of damp or marshy areas of Eurasia and North America with purplish flowers,i102817,marsh pea|Lathyrus palustris,Q15539021|Q159365,Q15539021,2,Orobus palustris,Orobus,species of plant
12560069-n,a weak-stemmed winter annual native to Mediterranean region for long established in southern United States; cultivated as a cover and pasture crop,i102810,singletary pea|Caley pea|rough pea|wild winterpea|Lathyrus hirsutus,Q15540205|Q159773,Q15540205,2,Pisum hirsutum,Pisum,species of plant
12589542-n,small Dominican tree bearing masses of large crimson flowers before the fine pinnate foliage emerges,i102949,carib wood|Sabinea carinalis,Q15542654|Q87585867,Q15542654,2,Poitea carinalis,Poitea,species of plant
12671317-n,a common wild cherry of eastern North America having small bitter black berries favored by birds,i103355,chokecherry|chokecherry tree|Prunus virginiana,Q15542944|Q162829,Q15542944,2,Padus virginiana,Padus,species of plant
12649466-n,American red-fruited hawthorn with dense corymbs of pink-red flowers,i103246,red haw|Crataegus pedicellata|Crataegus coccinea,Q15543298|Q3002196,Q15543298,2,Mespilus coccinea,Mespilus,species of medlar plant
11906626-n,annual weed of Europe and North America having a rosette of basal leaves and tiny flowers followed by oblong seed capsules,i99715,whitlow grass|shadflower|shad-flower|Draba verna,Q15543679|Q164032,Q15543679,2,Erophila verna,Erophila,species of plant
12648821-n,European hawthorn having deeply cleft leaves and bright red fruits; widely cultivated in many varieties and often grown as impenetrable hedges; established as an escape in eastern North America,i103243,English hawthorn|Crataegus monogyna,Q15543909|Q161511,Q15543909,2,Mespilus monogyna,Mespilus,species of medlar plant
12651760-n,North American wild strawberry with sweet scarlet fruit; a source of many cultivated strawberries,i103258,Virginia strawberry|scarlet strawberry|Fragaria virginiana,Q15545616|Q978247,Q15545616,2,Potentilla virginiana,,species of plant
12488097-n,plant of western North America to Mexico; poisonous especially to grazing animals,i102487,grassy death camas|Zigadenus venenosus|Zigadenus venenosus gramineus,Q3849177|Q15547277,Q15547277,2,Zigadenus venenosus,Zigadenus,species of plant
11953396-n,North American perennial with apparently whorled leaves and showy white purple-tinged flowers,i99926,whorled aster|Aster acuminatus,Q15548303|Q38761572,Q15548303,2,Oclemena acuminata,Oclemena,species of plant
11976001-n,annual of Mediterranean to Portugal having hairy stems and minutely spiny-toothed leaves and large heads of yellow flowers,i100058,blessed thistle|sweet sultan|Cnicus benedictus,Q792835|Q15548577,Q15548577,2,Cnicus benedictus,Cnicus,species of plant
12557758-n,hairy trailing or prostrate western Australian vine with bright scarlet-pink flowers,i102801,scarlet runner|running postman|Kennedia prostrata,Q15553798|Q3195154,Q15553798,2,Caulinia prostrata,Caulinia,species of plant
11955656-n,perennial of southeastern United States having usually blue flowers,i99939,Short's aster|Aster shortii,Q15555506|Q38783181,Q15555506,2,Symphyotrichum shortii,Symphyotrichum,Species of flowering plant in family Asteraceae
12034554-n,low much-branched perennial of western United States having silvery leaves; an important browse and shelter plant,i100342,silver sage|silver sagebrush|grey sage|gray sage|Seriphidium canum|Artemisia cana,Q1431474|Q583160|Q15562485,Q15562485,3,Seriphidium canum,Seriphidium,species of plant
12038322-n,western American goldenrod with long narrow clusters of small yellow flowers,i100361,narrow goldenrod|Solidago spathulata,Q67197476|Q15567522,Q15567522,2,Solidago spathulata,Solidago,species of plant
11955496-n,tufted rigid North American perennial with loose clusters of white flowers,i99938,upland white aster|Aster ptarmicoides,Q15567718|Q38780016,Q15567718,2,Solidago ptarmicoides,Solidago,species of plant
11826838-n,deep-rooted perennial of southeastern United States,i99335,pine-barren sandwort|longroot|Arenaria caroliniana,Q15571189|Q38617331,Q15571189,2,Minuartia caroliniana,Minuartia,species of plant
11981569-n,of China,i100085,florist's chrysanthemum|florists' chrysanthemum|mum|Dendranthema grandifloruom|Chrysanthemum morifolium,Q15571979|Q15530181,Q15571979,2,Dendranthema morifolium,Dendranthema,species of plant
12002811-n,European hawkweed introduced into northeastern United States; locally troublesome weeds,i100190,king devil|yellow hawkweed|Hieracium praealtum,Q25362844|Q15575765|Q8051739,Q15575765,3,Hieracium praealtum,Hieracium,species of plant
12009862-n,alpine perennial plant native to Europe having leaves covered with whitish down and small flower heads held in stars of glistening whitish bracts,i100226,edelweiss|Leontopodium alpinum,Q22111554|Q15584175,Q15584175,2,Leontopodium alpinum,Leontopodium,species of plant
12032089-n,stiff much-branched perennial of the Mediterranean region having very white woolly stems and leaves,i100330,dusty miller|Senecio cineraria|Cineraria maritima,Q20061216|Q15591639,Q15591639,2,Senecio cineraria,Senecio,species of plant
11823269-n,wild ginger having persistent heart-shaped pungent leaves; West Virginia to Alabama,i99321,heartleaf|heart-leaf|Asarum shuttleworthii,Q15295890|Q15593271,Q15593271,2,Asarum shuttleworthii,Asarum,species of plant
12058677-n,bellflower common in marshes of eastern North America having lanceolate linear leaves and small whitish flowers,i100457,marsh bellflower|Campanula aparinoides,Q110059553|Q15596433,Q15596433,2,Campanula aparinoides,,species of plant
12032580-n,American ragwort with yellow flowers,i100332,butterweed|ragwort|Senecio glabellus,Q7122962|Q15598537,Q15598537,2,Senecio glabellus,Senecio,species of plant
11996783-n,annual of southern United States and Mexico having bristly leaves and pale yellow flowers,i100161,camphor daisy|Haplopappus phyllocephalus,Q15601199|Q38774941,Q15601199,2,Rayjacksonia phyllocephala,Rayjacksonia,species of plant
12741114-n,a climber having flowers that are the color of canaries,i103694,canarybird flower|canarybird vine|canary creeper|Tropaeolum peregrinum,Q15603773|Q5477895,Q15603773,2,Trophaeum peregrinum,Trophaeum,species of plant
12821832-n,small plant with leaves in a basal cluster and tiny greenish flowers in slender racemes; northwestern North America to California and Colorado,i104083,five-point bishop's cap|Mitella pentandra,Q15606119|Q12901065,Q15606119,2,Pectiantia pentandra,Pectiantia,species of plant
12973477-n,large fern of New Zealand having kidney-shaped fronds,i104825,kidney fern|Trichomanes reniforme,Q15606693|Q27837164,Q15606693,2,Cardiomanes reniforme,Cardiomanes,species of plant
13230358-n,lip fern of Texas to Oklahoma and Colorado and Arizona and Mexico having tall erect tufted fronds,i106062,southwestern lip fern|Cheilanthes eatonii,Q89139268|Q15610746,Q15610746,2,Cheilanthes eatonii,Cheilanthes,species of plant
13230027-n,small tufted fern of northwestern America,i106060,lace fern|Cheilanthes gracillima,Q15610965|Q5089650,Q15610965,2,Allosorus gracillimus,Allosorus,species of plant
12663495-n,dwarf ornamental shrub of western United States having large black to red and yellow sweet edible fruit,i103315,Western sand cherry|Rocky Mountains cherry|Prunus besseyi,Q3408648|Q15624054,Q15624054,2,Prunus besseyi,Prunus,species of plant
11971346-n,shrubby annual of the Mediterranean region with yellowish-white flowers,i100033,crown daisy|Chrysanthemum coronarium,Q6585129|Q15627835,Q15627835,2,Chrysanthemum coronarium,Chrysanthemum,species of plant
11971155-n,European herb with bright yellow flowers; a common weed in grain fields,i100032,corn marigold|field marigold|Chrysanthemum segetum,Q28242|Q15627858,Q15627858,2,Chrysanthemum segetum,Chrysanthemum,species of plant
12173550-n,widely distributed North American sedge having rigid olive green stems,i101014,hardstem bulrush|hardstemmed bulrush|Scirpus acutus,Q15628951|Q38663645,Q15628951,2,Schoenoplectus acutus,Schoenoplectus,species of plant
11954708-n,early-flowering perennial of southern and southeastern Europe with flower heads resembling those of goldenrod,i99934,goldilocks|goldilocks aster|Aster linosyris|Linosyris vulgaris,Q80691167|Q15630423,Q15630423,2,Aster linosyris,Aster,species of plant
11907006-n,erect European annual often grown as a salad crop to be harvested when young and tender,i99717,rocket|roquette|garden rocket|rocket salad|arugula|Eruca sativa|Eruca vesicaria sativa,Q156884|Q25694275,Q156884,2,Eruca vesicaria subsp. sativa,Eruca vesicaria,edible annual plant Eruca vesicaria subsp. sativa
11955276-n,North American perennial herb having small autumn-blooming purple or pink or white flowers; widely naturalized in Europe,i99937,Michaelmas daisy|New York aster|Aster novi-belgii,Q1537333|Q15708990,Q15708990,2,Aster novi-belgii,Aster,species of plant
11746738-n,Eurasian herb with solitary nodding fragrant white flowers,i98957,snowdrop anemone|snowdrop windflower|Anemone sylvestris,Q93124828|Q157358,Q157358,2,Anemonoides sylvestris,Anemonoides,species of plant
12064142-n,Eurasian orchid with showy pink or purple flowers in a loose spike,i100469,male orchis|early purple orchid|Orchis mascula,Q92740849|Q157435,Q157435,2,Orchis mascula,Orchis,species of plant
12084890-n,European orchid having dense spikes of fragrant pink or lilac or red flowers with conspicuous spurs,i100566,fragrant orchid|Gymnadenia conopsea,Q93377046|Q157442,Q157442,2,Gymnadenia conopsea,Gymnadenia,species of plant
12667711-n,frequently cultivated Eurasian evergreen shrub or small tree having showy clusters of white flowers and glossy foliage and yielding oil similar to bitter almond oil,i103336,cherry laurel|laurel cherry|Prunus laurocerasus,Q15534675|Q157508,Q157508,2,Prunus laurocerasus,Prunus,species of plant
11741112-n,perennial European buttercup with yellow spring flowers widely naturalized especially in eastern North America,i98927,meadow buttercup|tall buttercup|tall crowfoot|tall field buttercup|Ranunculus acris,Q42711363|Q157563,Q157563,2,Ranunculus acris,Ranunculus,species of plant
12114402-n,a small fleshy herb common along North American seashores and in brackish marshes having pink or white flowers,i100709,sea milkwort|sea trifoly|black saltwort|Glaux maritima,Q2720092|Q157851,Q157851,2,Glaux maritima,Glaux,species of plant
11826990-n,perennial succulent herb with small solitary axillary or terminal flowers,i99336,seabeach sandwort|Arenaria peploides,Q157949|Q21870734,Q157949,2,Honckenya peploides,Honckenya,species of plant
12569309-n,European medic naturalized in North America having yellow flowers and sickle-shaped pods,i102854,sickle alfalfa|sickle lucerne|sickle medick|Medicago falcata,Q158531|Q21976301,Q158531,2,Medicago sativa subsp. falcata,Medicago sativa,subspecies of alfalfa plant
12539594-n,European herb resembling vetch; naturalized in the eastern United States; having umbels of pink-and-white flowers and sharp-angled pods,i102716,axseed|crown vetch|Coronilla varia,Q158908|Q15248508,Q158908,2,Securigera varia,Securigera,species of plant
11893127-n,or genus Arabis: erect cress widely distributed throughout Europe,i99648,tower mustard|tower cress|Turritis glabra|Arabis glabra,Q158993|Q18182668,Q158993,2,Arabis glabra,Arabis,species of plant
01597609-n,North American swallow that lives in colonies and builds bottle-shaped mud nests on cliffs and walls,i43680,cliff swallow|Hirundo pyrrhonota,Q1591775|Q14624738,Q1591775,2,American Cliff Swallow,Petrochelidon,species of bird
11844225-n,tall showy tropical American annual having hairy stems and long spikes of usually red flowers above leaves deeply flushed with purple; seeds often used as cereal,i99422,prince's-feather|gentleman's-cane|prince's-plume|red amaranth|purple amaranth|Amaranthus cruentus|Amaranthus hybridus hypochondriacus|Amaranthus hybridus erythrostachys,Q50914214|Q159191,Q159191,2,Amaranthus cruentus,Amaranthus,species of plant
01644380-n,similar to bullfrog; found in or near marshes and ponds; of United States and Canada,i43940,green frog|spring frog|Rana clamitans|Lithobates clamitans,Q4667968|Q159363,Q159363,2,Rana clamitans,Rana,species of amphibian
12561471-n,scrambling perennial of damp or marshy areas of Eurasia and North America with purplish flowers,i102817,marsh pea|Lathyrus palustris,Q15539021|Q159365,Q159365,2,Lathyrus palustris,Lathyrus,species of plant
12704332-n,Old World annual having fragrant purple to deep crimson flower heads; naturalized in United States,i103516,sweet scabious|pincushion flower|mournful widow|Scabiosa atropurpurea,Q17436334|Q159446,Q159446,2,Scabiosa atropurpurea,Scabiosa,species of plant
12679607-n,medium-sized European tree resembling the rowan but bearing edible fruit,i103396,service tree|sorb apple|sorb apple tree|Sorbus domestica,Q18593737|Q159558,Q159558,2,Sorbus domestica,Sorbus,species of plant
12646584-n,deciduous flat-growing shrub with a fanned herringbone pattern and having reddish flowers and orange-red berries; used as a ground cover,i103234,Cotoneaster horizontalis,Q65946893|Q159650,Q159650,2,Cotoneaster horizontalis,Cotoneaster,species of plant
12646431-n,climbing evergreen shrub with white flowers and red berries; often used as ground cover,i103233,Cotoneaster dammeri,Q65946889|Q159655,Q159655,2,Cotoneaster dammeri,Cotoneaster,species of plant
12560069-n,a weak-stemmed winter annual native to Mediterranean region for long established in southern United States; cultivated as a cover and pasture crop,i102810,singletary pea|Caley pea|rough pea|wild winterpea|Lathyrus hirsutus,Q15540205|Q159773,Q159773,2,Lathyrus hirsutus,Lathyrus,species of plant
12363015-n,tall North American perennial with creeping rootstocks and narrow leaves and spikes of pinkish-purple flowers occurring in great abundance in burned-over areas or recent clearings; an important honey plant,i101896,fireweed|giant willowherb|rosebay willowherb|wickup|Epilobium angustifolium,Q160104|Q12217056,Q160104,2,Chamaenerion angustifolium,Chamaenerion,species of plant
12112934-n,herb with scarlet or white or purple blossoms that close at approach of rainy weather,i100701,scarlet pimpernel|red pimpernel|poor man's weatherglass|Anagallis arvensis,Q21327968|Q160573,Q160573,2,Anagallis arvensis,Anagallis,species of plant
12433924-n,German iris having large white flowers with lavender-tinged falls and a fragrant rhizome,i102232,Florentine iris|orris|Iris germanica florentina|Iris florentina,Q16120935|Q104250895,Q16120935,2,Iris germanica var. florentina,Iris x germanica,variety of plant
12434834-n,European iris having soft lilac-blue flowers,i102237,Dalmatian iris|Iris pallida,Q93431036|Q161347,Q161347,2,Iris pallida,Iris,species of plant
12110363-n,common European twining vine with tuberous roots and cordate leaves and red berries,i100688,black bryony|black bindweed|Tamus communis,Q161378|Q21877561,Q161378,2,Dioscorea communis,Dioscorea,species of plant
12561662-n,scrambling perennial Eurasian wild pea having yellowish flowers and compressed seed pods; cultivated for forage,i102818,common vetchling|meadow pea|yellow vetchling|Lathyrus pratensis,Q158592|Q161639,Q161639,2,Meadow vetchling,Lathyrus,species of plant
12145700-n,weedy annual grass often occurs in grainfields and other cultivated land; seeds sometimes considered poisonous,i100871,darnel|tare|bearded darnel|cheat|Lolium temulentum,Q32856034|Q162088,Q162088,2,Lolium temulentum,Lolium,species of plant
12532600-n,large spiny shrub of eastern Asia having clusters of yellow flowers; often cultivated in shelterbelts and hedges,i102682,Siberian pea tree|Caragana arborescens,Q15502974|Q162124,Q162124,2,Caragana arborescens,Caragana,species of plant
12115929-n,trailing European evergreen with yellow flowers,i100717,yellow pimpernel|Lysimachia nemorum,Q92620183|Q162496,Q162496,2,Lysimachia nemorum,Lysimachia,species of plant
11844041-n,young leaves widely used as leaf vegetables; seeds used as cereal,i99421,love-lies-bleeding|velvet flower|tassel flower|Amaranthus caudatus,Q90405797|Q162791,Q162791,2,Amaranthus caudatus,Amaranthus,species of plant
11892942-n,European cress having stiff erect stems; sometimes placed in genus Turritis,i99647,tower cress|tower mustard|Arabis turrita,Q17235405|Q163451,Q163451,2,Arabis turrita,Arabis,species of plant
11849442-n,European plant naturalized in North America; often collected from the wild as a potherb,i99446,good-king-henry|allgood|fat hen|wild spinach|Chenopodium bonus-henricus,Q163805|Q19849736,Q163805,2,Blitum bonus-henricus,Blitum sect. Blitum,species of plant
12183973-n,"bryony having fleshy roots pale green flowers and very small red berries; found in Europe, North Africa, western Asia",i101065,red bryony|wild hop|Bryonia dioica,Q58611551|Q163815,Q163815,2,Bryonia dioica,Bryonia,species of plant
12699309-n,common elder of central and eastern North America bearing purple-black berries; fruit used in wines and jellies,i103491,American elder|black elderberry|sweet elder|Sambucus canadensis,Q1640817|Q21877280,Q1640817,2,Sambucus nigra subsp. canadensis,Sambucus nigra,subspecies of plant
12622566-n,annual with broadly ovate leaves and slender drooping spikes of crimson flowers; southeastern Asia and Australia; naturalized in North America,i103112,prince's-feather|princess feather|kiss-me-over-the-garden-gate|prince's-plume|Polygonum orientale,Q164344|Q80352483,Q164344,2,Persicaria orientalis,Persicaria,species of plant
12435594-n,a common iris of the eastern United States having blue or blue-violet flowers; root formerly used medicinally,i102242,blue flag|Iris versicolor,Q92937504|Q164844,Q164844,2,Iris versicolor,Iris,species of plant
12661941-n,small hybrid apricot of Asia and Asia Minor having purplish twigs and white flowers following by inferior purple fruit,i103307,purple apricot|black apricot|Prunus dasycarpa,Q15533117|Q16988612,Q16988612,2,Prunus × dasycarpa,Prunus,species of plant
13246515-n,occurs widely in Florida,i106146,florida selaginella|Selaginella eatonii,Q17263537|Q17024548,Q17024548,2,Selaginella eatonii,Selaginella,species of plant
12973229-n,a variety of bristle fern,i104823,hare's-foot bristle fern|Trichomanes boschianum,Q17042905|Q17262693,Q17042905,2,Vandenboschia boschiana,Vandenboschia,species of plant
12955239-n,a Eurasian plant with small white flowers yielding caraway seed,i104729,caraway|Carum carvi,Q17134090|Q26811,Q17134090,2,Apium carvi,Apium,species of plant
13209517-n,a hare's-foot fern of the genus Davallia,i105960,Australian hare's foot|Davallia pyxidata,Q17167445|Q38230025,Q17167445,2,Humata pyxidata,Humata,species of plant
13202709-n,ferns having lanceolate fronds that root at the tip,i105924,walking fern|walking leaf|Asplenium rhizophyllum|Camptosorus rhizophyllus,Q17172165|Q4808143,Q17172165,2,Camptosorus rhizophyllus,Camptosorus,species of plant
13203697-n,a spleenwort of eastern and southern United States,i105930,lobed spleenwort|Asplenium pinnatifidum,Q17181419|Q4808138,Q17181419,2,Chamaefilix pinnatifida,Chamaefilix,species of plant
13211645-n,of Australia and Tasmania; often cultivated; hardy in cool climates,i105970,soft tree fern|Dicksonia antarctica,Q17188267|Q630002,Q17188267,2,Balantium antarcticum,Balantium,species of plant
11892942-n,European cress having stiff erect stems; sometimes placed in genus Turritis,i99647,tower cress|tower mustard|Arabis turrita,Q17235405|Q163451,Q17235405,2,Pseudoturritis turrita,Pseudoturritis,species of plant
12669185-n,small straggling American cherry growing on sandy soil and having minute scarcely edible purplish-black fruit,i103344,sand cherry|Prunus pumila|Prunus pumilla susquehanae|Prunus susquehanae|Prunus cuneata,Q24694478|Q17235424,Q17235424,2,Prunus susquehanae,Prunus,species of plant
11856796-n,viscid branched perennial of the southwestern United States and northern Mexico having tuberous roots and deep red flowers,i99484,scarlet musk flower|Nyctaginia capitata,Q17239383|Q18228263,Q17239383,2,Boerhavia capitata,Boerhavia,species of plant
11883304-n,plant with fleshy roots and erect stems with narrow succulent leaves and one reddish-orange flower in each upper leaf axil; southwestern United States; Indians once cooked the fleshy roots,i99607,flame flower|flame-flower|flameflower|Talinum aurantiacum,Q17244256|Q41778381,Q17244256,2,Phemeranthus aurantiacus,Phemeranthus,species of plant
12968516-n,shrub of eastern North America closely resembling silky cornel,i104797,silky dogwood|Cornus obliqua,Q28808166|Q17244868,Q17244868,2,Cornus obliqua,Cornus,species of plant
13240731-n,of Eurasia and Greenland and North America,i106115,common horsetail|field horsetail|Equisetum arvense,Q17257054|Q107592,Q17257054,2,Allostelites arvensis,Allostelites,species of plant
12973229-n,a variety of bristle fern,i104823,hare's-foot bristle fern|Trichomanes boschianum,Q17042905|Q17262693,Q17262693,2,Trichomanes boschianum,Trichomanes,species of plant
13246515-n,occurs widely in Florida,i106146,florida selaginella|Selaginella eatonii,Q17263537|Q17024548,Q17263537,2,Diplostachyum eatonii,Diplostachyum,species of plant
12500961-n,a tuberous Mexican herb having grasslike leaves and cultivated for its spikes of highly fragrant lily-like waxy white flowers,i102545,tuberose|Polianthes tuberosa,Q64402156|Q17270998,Q17270998,2,Polianthes tuberosa,Polianthes,species of plant
11850141-n,annual European plant with spikes of greenish flowers and leaves that are white and hairy on the underside; common as a weed in North America,i99449,oak-leaved goosefoot|oakleaf goosefoot|Chenopodium glaucum,Q17271799|Q1543836,Q17271799,2,Oxybasis glauca,Oxybasis sect. Glaucae,species of plant
11850721-n,common Eurasian weed; naturalized in United States,i99452,red goosefoot|French spinach|Chenopodium rubrum,Q17271894|Q1477103,Q17271894,2,Oxybasis rubra,Oxybasis sect. Pseudoblitum,species of plant
11850514-n,European annual with coarsely dentate leaves; widespread in United States and southern Canada,i99451,nettle-leaved goosefoot|nettleleaf goosefoot|Chenopodium murale,Q17271937|Q1911022,Q17271937,2,Chenopodiastrum murale,Chenopodiastrum sect. Chenopodiastrum,species of plant
11676574-n,Tasmanian timber tree with yellow aromatic wavy-grained wood used for carving and ship building; sometimes placed in genus Dacrydium,i98620,huon pine|Lagarostrobus franklinii|Dacrydium franklinii,Q137400|Q17363776,Q17363776,2,Dacrydium franklinii,Dacrydium,species of plant
11674889-n,New Zealand silver pine of conical habit with long slender flexuous branches; adapted to cold wet summers and high altitudes,i98612,tarwood|tar-wood|Dacrydium colensoi,Q138261|Q17363786,Q17363786,2,Dacrydium colensoi,Dacrydium,species of plant
11850391-n,herb considered fatal to swine,i99450,sowbane|red goosefoot|Chenopodium hybridum,Q17398481|Q810563,Q17398481,2,Chenopodiastrum hybridum,Chenopodiastrum sect. Grossefoveata,species of plant
12704332-n,Old World annual having fragrant purple to deep crimson flower heads; naturalized in United States,i103516,sweet scabious|pincushion flower|mournful widow|Scabiosa atropurpurea,Q17436334|Q159446,Q17436334,2,Sixalix atropurpurea,Sixalix,species of plant
12693392-n,Chinese deciduous shrub with yellow-throated pinkish flowers and bristly fruit; often cultivated as an ornamental,i103463,beauty bush|Kolkwitzia amabilis,Q17437033|Q1779255,Q17437033,2,Linnaea amabilis,Linnaea,species of plant
11954932-n,tufted perennial wood aster of North America; naturalized in Europe,i99935,large-leaved aster|Aster macrophyllus,Q19848825|Q174445,Q174445,2,Aster macrophyllus,Aster,species of plant
11849674-n,Eurasian aromatic oak-leaved goosefoot with many yellow-green flowers; naturalized North America,i99447,Jerusalem oak|feather geranium|Mexican tea|Chenopodium botrys|Atriplex mexicana,Q1746114|Q21872302,Q1746114,2,Dysphania botrys,Dysphania subsect. Botrys,flowering plant from Mediterranean region
11886938-n,native to South America but naturalized in warm parts of United States; grown for its long-lasting spider-shaped white to pink-purple flowers,i99624,spider flower|spider plant|Cleome hassleriana,Q17467629|Q5131678,Q17467629,2,Tarenaya hassleriana,Tarenaya,species of plant
12726458-n,common trailing perennial milkwort of eastern North America having leaves like wintergreen and usually rosy-purple flowers with winged sepals,i103627,flowering wintergreen|gaywings|bird-on-the-wing|fringed polygala|Polygala paucifolia,Q17468666|Q4296863,Q17468666,2,Polygaloides paucifolia,Polygaloides,species of plant
04395830-n,a large (usually metallic) vessel for holding gases or liquids,i59983,tank|storage tank,Q1756525|Q1047832,Q1756525,2,,,
12396757-n,woody yellow-flowered perennial of southeastern United States,i102056,rush rose|Helianthemum scoparium,Q17570180|Q5704829,Q17570180,2,Crocanthemum scoparium,Crocanthemum,species of plant
12023636-n,widespread European weed with spiny tongue-shaped leaves and yellow flowers; naturalized in United States,i100291,oxtongue|bristly oxtongue|bitterweed|bugloss|Picris echioides,Q1764432|Q21876251,Q1764432,2,Helminthotheca echioides,Helminthotheca,species of plant
12389993-n,stiff shrub having oblong entire leaves and dense cymes of yellow flowers,i102024,shrubby St John's wort|Hypericum prolificum|Hypericum spathulatum,Q15367030|Q17812747,Q17812747,2,Hypericum prolificum,Hypericum,species of plant
02420309-n,wild goat of Iran and adjacent regions,i48333,bezoar goat|pasang|Capra aegagrus,Q20908547|Q178228,Q178228,2,Wild Goat,Capra,species of mammal
13260075-n,twining woody vine of Madagascar having thick dark waxy evergreen leaves and clusters of large fragrant waxy white flowers along the stems; widely cultivated in warm regions,i106214,Madagascar jasmine|waxflower|Stephanotis floribunda,Q10475339|Q1786657,Q1786657,2,Stephanotis floribunda,Stephanotis,species of plant
11682360-n,predominant yew in Europe; extraordinarily long-lived and slow growing; one of the oldest species in the world,i98648,Old World yew|English yew|Taxus baccata,Q92968108|Q179729,Q179729,2,Taxus baccata,Taxus,species of plant
12239806-n,shrub with pungent rigid needle-shaped leaves and white flowers; eastern Australia,i101296,needlebush|needle-bush|needle bush|Hakea lissosperma,Q66116230|Q18079936,Q18079936,2,Hakea lissosperma,Hakea,species of plant
12815127-n,small often mat-forming alpine plant having small starlike white flowers; Europe,i104052,star saxifrage|starry saxifrage|Saxifraga stellaris,Q18121653|Q162521,Q18121653,2,Micranthes stellaris,Micranthes,species of plant
11893127-n,or genus Arabis: erect cress widely distributed throughout Europe,i99648,tower mustard|tower cress|Turritis glabra|Arabis glabra,Q158993|Q18182668,Q18182668,2,Turritis glabra,Turritis,species of plant
12387387-n,low spreading tree of Indonesia yielding an orange to brown gum resin (gamboge) used as a pigment when powdered,i102013,gamboge tree|Garcinia hanburyi|Garcinia cambogia|Garcinia gummi-gutta,Q767747|Q2089493|Q18187249,Q18187249,3,Garcinia gummi-gutta,Garcinia,species of plant
01644032-n,common North American green or brownish frog having white-edged dark oval spots,i43938,leopard frog|spring frog|Rana pipiens|Lithobates pipiens,Q1819586|Q26830590,Q1819586,2,Lithobates pipiens,Lithobates,species of amphibian
11856796-n,viscid branched perennial of the southwestern United States and northern Mexico having tuberous roots and deep red flowers,i99484,scarlet musk flower|Nyctaginia capitata,Q17239383|Q18228263,Q18228263,2,Nyctaginia capitata,Nyctaginia,species of plant
12679607-n,medium-sized European tree resembling the rowan but bearing edible fruit,i103396,service tree|sorb apple|sorb apple tree|Sorbus domestica,Q18593737|Q159558,Q18593737,2,Cormus domestica,Cormus,species of plant
83443092-n,a jackal native to Africa with a black back,,jackal|Canis mesomelas|black-backed jackal,Q125814326|Q188944,Q188944,2,Canis mesomelas,Canis,species of mammal
11955085-n,common perennial of eastern North America having showy purplish flowers; a parent of the Michaelmas daisy,i99936,New England aster|Aster novae-angliae,Q1894641|Q21871639,Q1894641,2,New England aster,Symphyotrichum,Species of plant in the aster family
02434622-n,small deer of Japan with slightly forked antlers,i48418,Japanese deer|sika|Cervus nippon|Cervus sika,Q122701031|Q190516,Q190516,2,sika deer,Cervus,species of deer native to much of East Asia
13035341-n,an agaric with a relatively small pink to red cap and white gills and stalk,i105133,Lepiota rubrotincta,Q19059353|Q59537348,Q19059353,2,Leucoagaricus rubrotinctus,Leucoagaricus,species of fungus
13076552-n,a fungus with a red cap and a red coarsely reticulate stalk,i105329,Frost's bolete|Boletus frostii,Q41712963|Q1933457,Q1933457,2,Boletus frostii,Boletus,species of fungus
01980928-n,small edible crab of Pacific coast of North America,i45744,Dungeness crab|Cancer magister,Q1936093|Q22112422,Q1936093,2,Dungeness crab,Metacarcinus,species of crustacean
